Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5,Success,22 April 2020,04:50
86,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,30 May 2020,12:16
87,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,4 June 2020,19:30
88,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>","Success
",F9 B5,Success,13 June 2020,19:22
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>","Success
",F9 B5,Success,30 June 2020,01:25
90,KSC,Starlink,"14,932 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,20 July 2020,09:21
91,CCAFS,Starlink,"~15,440 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,7 August 2020,20:10:46
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>","Success
",F9 B5B1058.2,Success,18 August 2020,21:30
93,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,30 August 2020,05:12
94,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1049.6,Success,3 September 2020,14:31
95,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,6 October 2020,23:18
96,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1060.2,Success,18 October 2020,12:46:14
97,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>","Success
",F9 B5B1058.3,Success,24 October 2020,11:29:34
98,KSC,Crew-1,"~12,500 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5B1051.6,Success,5 November 2020,12:25:57
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5,Success,16 November 2020,15:31:34
100,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,21 November 2020,23:24:23
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5,Success,25 November 2020,00:27
102,CCSFS,SXM-7,"7,000 kg",GTO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",F9 B5,Success,6 December 2020,17:17:08
103,KSC,NROL-108,C,LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",F9 B5 ♺,Success,13 December 2020,02:13
104,CCSFS,Türksat 5A,"3,500 kg",GTO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>","Success
",F9 B5 ♺,Success,19 December 2020,16:17:08
105,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,8 January 2021,17:30:00
106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
",F9 B5 ♺,Success,20 January 2021,14:00:00
107,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5,Success,24 January 2021,02:15
108,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1051.8,Failure,4 February 2021,13:02
109,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1058.5,Success,16 February 2021,15:00
110,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,4 March 2021,06:19
111,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,11 March 2021,03:59:37
112,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,14 March 2021,08:24
113,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,24 March 2021,08:13:29
114,KSC,Crew-2,"~13,000 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5 ♺,Success,7 April 2021,10:01
115,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1060.6,Success,23 April 2021,08:28
116,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5 ♺,Success,29 April 2021,16:34
117,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1061.2,Success,4 May 2021,9:49
118,KSC,Starlink,"~14,000 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1060.7,Success,9 May 2021,03:44
119,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 B5B1049.9,Success,15 May 2021,19:01
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B5B1051.10,Success,26 May 2021,06:42
121,CCSFS,SXM-8,"7,000 kg",GTO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",F9 B5B1058.8,Success,3 June 2021,22:56
1,,,,,,,F9 B5B1063.2,,4 June 2010,18:59
2,,,,,,,F9 B5B1067.1,,8 December 2010,17:29
3,,,,,,,F9 B5,,22 May 2012,04:26
4,,,,,,,,,8 October 2012,
5,,,,,,,,,1 March 2013,
6,,,,,,,,,29 September 2013,
7,,,,,,,,,3 December 2013,
8,,,,,,,,,6 January 2014,
9,,,,,,,,,18 April 2014,
10,,,,,,,,,14 July 2014,
11,,,,,,,,,5 August 2014,
12,,,,,,,,,7 September 2014,
13,,,,,,,,,21 September 2014,
14,,,,,,,,,10 January 2015,
15,,,,,,,,,11 February 2015,
16,,,,,,,,,2 March 2015,
17,,,,,,,,,14 April 2015,
18,,,,,,,,,27 April 2015,
19,,,,,,,,,28 June 2015,
20,,,,,,,,,22 December 2015,
21,,,,,,,,,17 January 2016,
22,,,,,,,,,4 March 2016,
23,,,,,,,,,8 April 2016,
24,,,,,,,,,6 May 2016,
25,,,,,,,,,27 May 2016,
26,,,,,,,,,15 June 2016,
27,,,,,,,,,18 July 2016,
28,,,,,,,,,14 August 2016,
29,,,,,,,,,14 January 2017,
30,,,,,,,,,19 February 2017,
31,,,,,,,,,16 March 2017,
32,,,,,,,,,30 March 2017,
33,,,,,,,,,1 May 2017,
34,,,,,,,,,15 May 2017,
35,,,,,,,,,3 June 2017,
36,,,,,,,,,23 June 2017,
37,,,,,,,,,25 June 2017,
38,,,,,,,,,5 July 2017,
39,,,,,,,,,14 August 2017,
40,,,,,,,,,24 August 2017,
41,,,,,,,,,7 September 2017,
42,,,,,,,,,9 October 2017,
43,,,,,,,,,11 October 2017,
44,,,,,,,,,30 October 2017,
45,,,,,,,,,15 December 2017,
46,,,,,,,,,23 December 2017,
47,,,,,,,,,8 January 2018,
48,,,,,,,,,31 January 2018,
49,,,,,,,,,22 February 2018,
50,,,,,,,,,6 March 2018,
51,,,,,,,,,30 March 2018,
52,,,,,,,,,2 April 2018,
53,,,,,,,,,18 April 2018,
54,,,,,,,,,11 May 2018,
55,,,,,,,,,22 May 2018,
56,,,,,,,,,4 June 2018,
57,,,,,,,,,29 June 2018,
58,,,,,,,,,22 July 2018,
59,,,,,,,,,25 July 2018,
60,,,,,,,,,7 August 2018,
61,,,,,,,,,10 September 2018,
62,,,,,,,,,8 October 2018,
63,,,,,,,,,15 November 2018,
64,,,,,,,,,3 December 2018,
65,,,,,,,,,5 December 2018,
66,,,,,,,,,23 December 2018,
67,,,,,,,,,11 January 2019,
68,,,,,,,,,22 February 2019,
69,,,,,,,,,2 March 2019,
70,,,,,,,,,4 May 2019,
71,,,,,,,,,24 May 2019,
72,,,,,,,,,12 June 2019,
73,,,,,,,,,25 July 2019,
74,,,,,,,,,6 August 2019,
75,,,,,,,,,11 November 2019,
76,,,,,,,,,5 December 2019,
77,,,,,,,,,17 December 2019,
78,,,,,,,,,7 January 2020,
79,,,,,,,,,19 January 2020,
80,,,,,,,,,29 January 2020,
81,,,,,,,,,17 February 2020,
82,,,,,,,,,7 March 2020,
83,,,,,,,,,18 March 2020,
84,,,,,,,,,22 April 2020,
85,,,,,,,,,30 May 2020,
86,,,,,,,,,4 June 2020,
87,,,,,,,,,13 June 2020,
88,,,,,,,,,30 June 2020,
89,,,,,,,,,20 July 2020,
90,,,,,,,,,7 August 2020,
91,,,,,,,,,18 August 2020,
92,,,,,,,,,30 August 2020,
93,,,,,,,,,3 September 2020,
94,,,,,,,,,6 October 2020,
95,,,,,,,,,18 October 2020,
96,,,,,,,,,24 October 2020,
97,,,,,,,,,5 November 2020,
98,,,,,,,,,16 November 2020,
99,,,,,,,,,21 November 2020,
100,,,,,,,,,25 November 2020,
101,,,,,,,,,6 December 2020,
102,,,,,,,,,13 December 2020,
103,,,,,,,,,19 December 2020,
104,,,,,,,,,8 January 2021,
105,,,,,,,,,20 January 2021,
106,,,,,,,,,24 January 2021,
107,,,,,,,,,4 February 2021,
108,,,,,,,,,16 February 2021,
109,,,,,,,,,4 March 2021,
110,,,,,,,,,11 March 2021,
111,,,,,,,,,14 March 2021,
112,,,,,,,,,24 March 2021,
113,,,,,,,,,7 April 2021,
114,,,,,,,,,23 April 2021,
115,,,,,,,,,29 April 2021,
116,,,,,,,,,4 May 2021,
117,,,,,,,,,9 May 2021,
118,,,,,,,,,15 May 2021,
119,,,,,,,,,26 May 2021,
120,,,,,,,,,3 June 2021,
121,,,,,,,,,6 June 2021,
1,,,,,,,,,4 June 2010,
2,,,,,,,,,4 June 2010,
3,,,,,,,,,4 June 2010,
4,,,,,,,,,4 June 2010,
5,,,,,,,,,8 December 2010,
6,,,,,,,,,22 May 2012,
7,,,,,,,,,8 October 2012,
8,,,,,,,,,1 March 2013,
9,,,,,,,,,29 September 2013,
10,,,,,,,,,3 December 2013,
11,,,,,,,,,6 January 2014,
12,,,,,,,,,18 April 2014,
13,,,,,,,,,14 July 2014,
14,,,,,,,,,5 August 2014,
15,,,,,,,,,7 September 2014,
16,,,,,,,,,21 September 2014,
17,,,,,,,,,10 January 2015,
18,,,,,,,,,11 February 2015,
19,,,,,,,,,2 March 2015,
20,,,,,,,,,14 April 2015,
21,,,,,,,,,27 April 2015,
22,,,,,,,,,28 June 2015,
23,,,,,,,,,22 December 2015,
24,,,,,,,,,17 January 2016,
25,,,,,,,,,4 March 2016,
26,,,,,,,,,8 April 2016,
27,,,,,,,,,6 May 2016,
28,,,,,,,,,27 May 2016,
29,,,,,,,,,15 June 2016,
30,,,,,,,,,18 July 2016,
31,,,,,,,,,14 August 2016,
32,,,,,,,,,14 January 2017,
33,,,,,,,,,19 February 2017,
34,,,,,,,,,16 March 2017,
35,,,,,,,,,30 March 2017,
36,,,,,,,,,1 May 2017,
37,,,,,,,,,15 May 2017,
38,,,,,,,,,3 June 2017,
39,,,,,,,,,23 June 2017,
40,,,,,,,,,25 June 2017,
41,,,,,,,,,5 July 2017,
42,,,,,,,,,14 August 2017,
43,,,,,,,,,24 August 2017,
44,,,,,,,,,7 September 2017,
45,,,,,,,,,9 October 2017,
46,,,,,,,,,11 October 2017,
47,,,,,,,,,30 October 2017,
48,,,,,,,,,15 December 2017,
49,,,,,,,,,23 December 2017,
50,,,,,,,,,8 January 2018,
51,,,,,,,,,31 January 2018,
52,,,,,,,,,22 February 2018,
53,,,,,,,,,6 March 2018,
54,,,,,,,,,30 March 2018,
55,,,,,,,,,2 April 2018,
56,,,,,,,,,18 April 2018,
57,,,,,,,,,11 May 2018,
58,,,,,,,,,22 May 2018,
59,,,,,,,,,4 June 2018,
60,,,,,,,,,29 June 2018,
61,,,,,,,,,22 July 2018,
62,,,,,,,,,25 July 2018,
63,,,,,,,,,7 August 2018,
64,,,,,,,,,10 September 2018,
65,,,,,,,,,8 October 2018,
66,,,,,,,,,15 November 2018,
67,,,,,,,,,3 December 2018,
68,,,,,,,,,5 December 2018,
69,,,,,,,,,23 December 2018,
70,,,,,,,,,11 January 2019,
71,,,,,,,,,22 February 2019,
72,,,,,,,,,2 March 2019,
73,,,,,,,,,4 May 2019,
74,,,,,,,,,24 May 2019,
75,,,,,,,,,12 June 2019,
76,,,,,,,,,25 July 2019,
77,,,,,,,,,6 August 2019,
78,,,,,,,,,11 November 2019,
79,,,,,,,,,5 December 2019,
80,,,,,,,,,17 December 2019,
81,,,,,,,,,7 January 2020,
82,,,,,,,,,19 January 2020,
83,,,,,,,,,29 January 2020,
84,,,,,,,,,17 February 2020,
85,,,,,,,,,7 March 2020,
86,,,,,,,,,18 March 2020,
87,,,,,,,,,22 April 2020,
88,,,,,,,,,30 May 2020,
89,,,,,,,,,4 June 2020,
90,,,,,,,,,13 June 2020,
91,,,,,,,,,30 June 2020,
92,,,,,,,,,20 July 2020,
93,,,,,,,,,7 August 2020,
94,,,,,,,,,18 August 2020,
95,,,,,,,,,30 August 2020,
96,,,,,,,,,3 September 2020,
97,,,,,,,,,6 October 2020,
98,,,,,,,,,18 October 2020,
99,,,,,,,,,24 October 2020,
100,,,,,,,,,5 November 2020,
101,,,,,,,,,16 November 2020,
102,,,,,,,,,21 November 2020,
103,,,,,,,,,25 November 2020,
104,,,,,,,,,6 December 2020,
105,,,,,,,,,13 December 2020,
106,,,,,,,,,19 December 2020,
107,,,,,,,,,8 January 2021,
108,,,,,,,,,20 January 2021,
109,,,,,,,,,24 January 2021,
110,,,,,,,,,4 February 2021,
111,,,,,,,,,16 February 2021,
112,,,,,,,,,4 March 2021,
113,,,,,,,,,11 March 2021,
114,,,,,,,,,14 March 2021,
115,,,,,,,,,24 March 2021,
116,,,,,,,,,7 April 2021,
117,,,,,,,,,23 April 2021,
118,,,,,,,,,29 April 2021,
119,,,,,,,,,4 May 2021,
120,,,,,,,,,9 May 2021,
121,,,,,,,,,15 May 2021,
1,,,,,,,,,26 May 2021,
1,,,,,,,,,3 June 2021,
1,,,,,,,,,6 June 2021,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
